ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
2010.008.BMP.JoVan,Greenmount West,2010,330 E. Lafayette Avenue,,Josh Van Horne,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,Outdoor,mural,,2010.008.BMP.JoVan.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/AZDyjslYeild8gYl0MjZrQ/7svgSZYYhCr8WBusqkrPjIqu1mtm7Jh3Ox5ttILBb1st-jSh7ZyFac2dqi28MRrq/cwYxnzjSySTIS2GnHUtGxEci3TWYpW3YIX8HMxtpbCc),,,,Male,,,,,,,,District 12,Greenmount West,Midtown,8408,,,,,39.310145,-76.611072,12/8/2022 2:54pm
,Oak Wisdom,2010,Beechwood Drive and Gwynns Falls Parkway,,William Cochran,Sculpture,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,,Druid Hill Park,,Druid Hill Park,Outdoor,"found object,stained glass",,,,,,Male,,,,,,,node/9194867552,District 7,Druid Hill Park,Penn North/Reservoir Hill,,,,,,39.3191326,-76.6471669,1/4/2023 11:20pm
2010.002.BMP.ToCha,The Waverly Village Mural,2010,3331 Greenmount Avenue,,Tom Chalkley,Mural,in place,,,,Baltimore Mural Program (BOPA),"Kenneth C. Clemons,Greg Gannon",,,,Baltimore,MD,21218,,,,Outdoor,mural,,"2010.002.BMP.ToCha(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/eQq8B-cQPPzXNczXqBjglA/W7G4v6FanEDVy1CR18sruiv6-H1-fM1HWBvOCCEvO47-KTexzt9Nt5qoWof3O6nS/Nmohrc5368EAMVMWVcdpXyevVof2xvJb9M6If4SFZZQ),2010.002.BMP.ToCha.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/JyQhb33peqpb40U102z7Dw/VPLYjYh4GO_NY7Zy5JYy9bvkXJQzjlQZqidg8heP_oKHyiohKQQmCchW9Em2e_RY/wuM6q6xkSxVVQoln2ceyr0zFk3_b40UbqM8LAWru9rY)",,,,Male,,,,,,,,District 14,Waverly,The Waverlies,7070,,,,,39.328830,-76.609183,12/8/2022 2:54pm
2010.003.BMP.AuDro,Unknown,2010,1818 W. Fayette Street,,Augustina Droze,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,2010.003.BMP.AuDro.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/6SkTtPN6F0l-YUhS5zt6Zw/SjPf-Asqb-hKX6PIg4ANXmMA49I0Wz3A0Ww6cGJ-1ehf5gsaFEOBlVYwSKfSwH3E/lFp7jIDpPeVQVBlXPI3vR7NitdlhXOpJ8RfzqguKH64),,,,Female,,,,,,,,District 9,Franklin Square,Southwest Baltimore,5923,,,,,39.289646,-76.645969,1/18/2023 10:47am
2010.007.BMP.MiSan,Unknown,2010,221 S. Pulaski Street,,Michelle Santos,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,2010.007.BMP.MiSan.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/PCIJvAbkOFDLCnwxRXqapQ/WwXd1dIAMponzDBm0243nbB6lcRsp1IvJdr5ATMT8YUN94OZOx49GumJr_4WTt2j/QGUicJnv_GPtPNcxI0MVGHcd_U6YLrMx2x_UcSaNUic),,,,Female,,,,,,,,District 9,Carrollton Ridge,Southwest Baltimore,1291,,,,,39.284261,-76.649651,1/18/2023 10:47am
,Vessel Field,2010,Bowman Drive,Street name,Kendall Buster,Sculpture,in place,Private Property,,Johns Hopkins University,Johns Hopkins University Public Art Program,Siemon Allen,,,,Baltimore,MD,,"Gilman Hall, Johns Hopkins University",,"""Johns Hopkins University, Homewood Campus""",Indoor,"steel,shade cloth",,,,"In Gilman Hall; between ""Hutzler Reading Room and Memorial Hall"" ... ""Suspended by steel wires, the sculptures reference the extensive collection of jars and other containers in the university’s Archaeological Museum, which replaced the bookstore below the atrium."" https://magazine.krieger.jhu.edu/2022/05/gilman-hall-then-and-now/ Vessel Field was designed and built in collaboration with South African artist Siemon Allen. The project was coordinated in association with Mark G Anderson Consultants of Washington, DC and installed by the Chicago-based art rigging specialists Methods and Materials. http://kendallbuster.com/projects_text/vesselfieldtx.html",,,,,,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,,,,,,39.32898909492868,-76.62158215435244,12/8/2022 2:54pm
2010.006.BMP.ChPet,Welcome to Morrell Park,2010,2410 Tolley Street,,Chris Peters,Mural,"painted over,replaced",Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),"Access Art,Mike Batistellar",,,,Baltimore,MD,21223,Morrell Park,,Morrell Park,Outdoor,mural,,"2010.006.BMP.ChPet(3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/53uy8L-_kuR0y_lyWxfN2Q/bqPuk1ncn6Hqi25-QnFrN_ma7_BKdp4O3qEBCzRob2PVmHDMqaNVrf7bbhtxXQgU/oU6wPbJ7mLlpvylfWlAJUYDJiYswI6dABBaCMz4Jaxo),2010.006.BMP.ChPet(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/VHfSsFuFtBzW1HDZH17XVA/P0gvLsnvt6ugPGcfLk6i8k0O1-6fRcLWT--abnSHhLfsd3R6h7GFfiBSsQckJzif/3WJIFeY5kKiKTAWb8oeR2z9Vf7rdnuIVZs8rNjr6OMg),2010.006.BMP.ChPet.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/8h4uMK9p43mXGfr8b0g82w/BxXPtCTHp33r0ZNiHdi9Dvh0MAeCaHG2iPINNOBKP--j1JD7kcankGXiDfVVL44N/EZs4enkgaqgjjBcuG1LGT8XmiCHAy3ow229LMuzGoRw)",,,,Male,,,,,,,,District 10,Morrell Park,Morrell Park/Violetville,5777,,,,,39.265884,-76.648455,12/8/2022 2:54pm
SECDC,You Are Here: Highlandtown [Anamorphic Highlandtown],2010,3700 Eastern Avenue,,Tom Chalkley,Mural,in place,Private Property,,,,Greg Gannon,,,,Baltimore,MD,,,,,Outdoor,mural,Created since 2014,,,,,Male,,,,,,,,District 1,Brewers Hill,Highlandtown,,,,,,39.286494,-76.5663,1/4/2023 11:20pm
,"[""Be the Change You Want to See"" mural]",2009,1703 Homestead Street,,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,District 14,Coldstream Homestead Montebello,Midway/Coldstream,,,,,,39.320218857239794,-76.59480292501205,12/8/2022 2:54pm
2009.002.BMP.ToCla,[Fort Worthington Recreation Center Mural],2009,2710 E. Hoffman Street,,Tom Clayton,Mural,demolished,Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,Fort Worthington Recreation Center,,Fort Worthington Recreation Center,Outdoor,mural,,2009.002.BMP.ToCla.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/1L0GyKfXxEF3f81F80drtg/DOEea2V6BuM-bg7hXgxwkenryPRtBf43cnWuarf9N89n4l9Wvdnkce6ofHR7ql0e/TgHo4LTn6oFoexIJbG5shqjn3M5UcRMX85FM9bBcOeY),,,,Male,,,,,,,,District 13,Berea,Clifton-Berea,5780,,,,,39.307444,-76.578768,12/8/2022 2:54pm
2009.010.BMP.MaSel,Elwood Park,2009,3030 Jefferson Street,,Mark Selby,Mural,"painted over,removed,replaced",Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),Joe Jacobs,,,,Baltimore,MD,21205,Elwood Park,,Elwood Park,Outdoor,painted mural,,"2009.010.BMP.MaSel.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Z440fAqiIeWkOAIntjvwGg/WsPME0NkUvhAp9m1zfAEzfVlzuV6MJcv5zk1WI2LPUZbCUO7D7Qwa9pDEBkWocY8/Fe1_aOj98iniowc7DsISdi543P5-SzX9_PG3f-EqCfg),Ellwood mural final day 005.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/th6QkRl29xvsX-Qwe3Zydw/BkbhfhfxQF3Wr4TVdbvWu3_S3KyigEV-A0w9v8xpjqR4HfM3DPuGz1UUQmr4uSLtNe2akIkiOJBwB9zltkeIhKsfV2KVHXIwBUnVY7x9EgHjphdcFKLKEUxNhcvfbovM/UiGO8PwcNFA0ReL85-Rnd0MIOFOM8UBQh3sYonMYazo),Ellwood mural final day 007.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/s9dYFnVh5OJAcbP8GYNLkg/YzyGjKP8atPmwuk3MX93xxNS_f3AwZu4doQGa6yWwSWAUJyTi2d7WZmMxnLI7EFprs6nauOyZAN4bsfrzJYLB2zXE2fu5Gs43ruE69RVYyaaW_tuGmWY9IpS5a_Dk0Ox/cR3HxAK2KxmFCPGWS8EhXuDDaZLUf4N7cZrfy7oOCPI),Ellwood mural final day 009.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/JG-j6KMQIbbIVVvNdZ4Oqw/erzFe0wrhoigm_bwaliRd5JrWZhbZZEiSuGTspyp22cjO1HAs6SFT1lLkAB0kUO0EEY3CAbyHc3nyOsbxK8Mm_umkK5r4B129uDnFSFbPr4yvCjMclwwqY5Ee1vATkYN/ouujdP5RY_bbXGvmA-PzgOpy2VnnXxOpq1PjLA2HN6Y),Ellwood mural final day 011.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/cYmkC5ph03d_JSOnw9jK-g/-u1f5RiJuh-VJ1Dhpcu8C0jsFdywj7v1Fv9HdLnINTmF047VVY4PKvHE_nafikne-oV3K-sWoLQpLq1ZFXe7ZBumKBjM7kHrz9zwrAtgsvTv8PQBPmKWSOb2-MBC1Mlz/_it7Uv7RL9iqaVfnVoMZDTDCNLPC190nL1tToVsXAgg),Ellwood mural final day 012.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/2_hBnPJfNYuJA_uWKo78jg/R1x1D-AQi26hYljEV0aPzScFcN82opVzrfeuop900JZZO2zd5XVI5aEaM6pGr-7Q0PZ2sJ9Sk-DJsGoR5-Yp_Y53kM2a7Efm4pYvRVeDPi-tDmhHAA7XFOUtoaP_f05D/9brc5GyRhm-LjLruzqi2OIszl1ac3e7NTbOA5bNa3B8)",,,,Male,,,,,,,,District 13,Ellwood Park/Monument,Patterson Park North & East,7340,,,,,39.296485,-76.574230,12/8/2022 2:54pm
2009.003.BMP.AuDro,Pigtown,2009,759 Washington Boulevard,,Augustina Droze,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21230,,,,Outdoor,mural,,"2009.003.BMP.AuDro(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/550xsclC4mdRBKW_HRmwrA/KXHS2zFjgFZWWH5329RrzP4ykklXTGrCf2NWgz0oA_xVg13oU_Ba-kL2g-oSRIMd/YH3M1N010JHPscsmPbizUrYqE24zeoHNX6UzPvYbn8M),2009.003.BMP.AuDro (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/-XC2sk8lK1Vsezbea-_cGQ/DVDwiClHuKcHkj96gUV5J09b8S5zPqRDvuPjj3dBCDuMvzQJDZzAoXUYH10w9cs0/mmBdm3BL47liwXVnIg4tK_VmQgZHdUwm6q1pVygXwJg),2009.003.BMP.AuDro.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/M5HRjz0gUiX_xQBsbIzn0Q/fzNfIZjxDdMKKC_whjpATpPGUTBd-Pz1Q6LWbxb5EKGjKLChptphe8_rWzfmTcUf/Nz986FDzGjkD8DA922KH_-gkghqvEVQm1_Ybgcrs2IU)",,,,Female,,,,,,,,District 10,Washington Village/Pigtown,Washington Village/Pigtown,1402,,,,,39.282933,-76.627656,12/8/2022 2:54pm
2009.008.BMP.MiOwe,The Celebration Between [Eastern Avenue Underpass Mural],2009,4100-4500 blocks Eastern Avenue,Street name,Michael Owen,Mural,in place,Mayor & City Council,Baltimore City Department of Transportation,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21224,Eastern Avenue Underpass,,,Outdoor,mural,,"2009.008.BMP.MiOwe(7).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ZXtxFQFcNArS0ak26QaQwA/CRkdvfjJ7VfOg2kiKS7W2Ethogc2vq7PNCXKr3rjJFuzHXbd9H_x8RUnHiNhfotJ/-CSNlhGsviMlGBqjd5JO15disprnyagAVzV46nxcNuw),2009.008.BMP.MiOwe(6).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/IcCipUUCoV9Ei1wMaG7csw/rdJEKnuNHZqBNrUmpbV0neAJyBkIjm6f0L7apkXhaQyH8TNqnask3RcdTB98Ykas/JgQFHywtANbtmBpfDvNzxyOLXJphL9d9NxZl8sdftfI),2009.008.BMP.MiOwe(5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/KLkpYkQtkWUDR-dvywYuuw/3I2z-0ifgjuALUVff9uKIb8KIrAc6kW6jX21F1OocL1AnvRRtrA3sbS5Zg9mAQPV/lJ38Sh1iVKPHm_Q-nQNjECSvfElxDXym_pI1UbaqgKA),2009.008.BMP.MiOwe(4).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ak2hhsGltBEw2GF60fgyrA/q6qx52Kal56-xz-pOZ7Dtb4dybR6D4nSn5uMTRLW0BDnOi1Wd5ZyfvrRHqzfyxVt/tWlvVY_Jn4u5K6tlUz-IuPZv8rY30q8XBWh4bc4o_5I),2009.008.BMP.MiOwe(3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/-YTXhX0hr6zsWYl1XgLB1g/GsdpcsCq8ERDkZ6KilP-h8-4iaeHogSo8DkXya3rjPSEB4zFBe-dfTfQ4VmmhdCH/6XnfEbBTWQvg5rEsA0lHqKUfB5QZW1qbKxVxWXy8M0c),2009.008.BMP.MiOwe(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/1_Np8dldqDBy8dnPtoED0Q/ojne9jaKHqfwubA4HgcEfX7RamLCoy_hEbjAR4UyB2YIInzDfKcOo5eNzf6m4fgy/TiL7Y9e6WrhBCeSFP-W6Y79F86osTyv8Oazld7ZWkJ8),2009.008.BMP.MiOwe.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/bqg6A-Qg3XfUM-UWXr20nA/IdlmhSzPmEWwOpn34jQqgCOGGJ9C_Xjww34uOSSQ1WjqufAIgLi6V22IwjPJ3EA0/qzKjEFgymGzW0kN2_F5meVC5FFs6wc28DrPmBj9UCQg)",,,,Male,,,,,,,,District 1,Canton Industrial Area,Orangeville/East Highlandtown,9022,,,,,39.287326,-76.559614,1/4/2023 11:17pm
2009.011.BMP.ArVea,Unknown,2009,1400 Greenmount Avenue,,Archie Veale,Mural,painted over,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,Outdoor,mural,,2009.011.BMP.ArVea.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/zWehaBcWNje7-JjTJkPTZQ/USDKsizziv6xJaQ2t_wzck8cqvaPyoBz9IeAwg2BrX0Rz1sq9LbZEmRTUivngj0G/KcL3u_RJ0CJC14jRcu27KLzCQjI37Y5XbnZI8sWo4y4),,Destroyed(?),,Male,,,,,,,,District 12,Greenmount West,Midtown,1970,,,,,39.306418,-76.608710,1/18/2023 10:47am
2009.004.BMP.DaHos,Unknown,2009,4337 Park Heights,,Danamarie Hosler,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21215,,,,Outdoor,mural,,2009.004.BMP.DaHos.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/DkNTCAzaRGSY0cgUz-aH-g/1DBqEcpdPv70dpODzMeA84dUt1Xs4Y8qCUpBISbZ1nmOzon4vgphgXLxBC7lihE9/PYM7iF8egkU0Gv5dMH2jhctg4t65fg_bl6MgrLnGq-o),,,,Female,,,,,,,,District 6,Central Park Heights,Southern Park Heights,8173,,,,,39.339315,-76.665753,1/18/2023 10:47am
2009.007.BMP.JoMar,Unknown,2009,Holliday and Saratoga Streets,Intersection,John Marra,Mural,in place – unconfirmed,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,Baltimore Farmer's Market,,,Outdoor,mural,,,,,,Male,,,,,,,,District 11,Downtown,Downtown/Seton Hill,6918,,,,,39.29146211325886,-76.61031346272442,1/18/2023 10:47am
2009.005.BMP.LyKis,Unknown,2009,508 Benninghaus Road,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21212,,,,Outdoor,mural,,"2009.005.BMP.LyKis(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ZTaVrrgtpjp_567tNWFwOQ/aj5WfnpPnoDtZItn1FlCfxZREJSdq9TsN7ke5iRrqh7ve_cThsYzWoeHJXijXkSp/Do2PcwvCl4r3s0RXl_fy2TzsjrVYXzXWQhhoy98Wd1g),2009.005.BMP.LyKis.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/HDToHUf3ELNI5vlLH8i_6Q/O2GjTfqG4vasKuQ_1X-ZG0lh-zvQzq26uD6b77x5cCXsbmO62JXkHH3_PsuLAEmM/2dGmdxPJjp5i79yLCRLvIrHuE47EJ-HORpbpquZVlto)",,,,Male,,,,,,,,District 4,Mid-Govans,Chinquapin Park/Belvedere,1246,,,,,39.358643,-76.609459,1/18/2023 10:47am
2009.006.BMP.LyKis,Unknown,2009,2798 The Alameda,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),Brian Probst,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 14,Coldstream Homestead Montebello,Midway/Coldstream,6906,,,,,39.323024,-76.593212,1/18/2023 10:47am
2009.009.BMP.NeRiv,Unknown,2009,Holliday and Saratoga Streets,Intersection,Nelson Rivas (Cekis),Mural,in place – unconfirmed,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,Baltimore Farmer's Market,,,Outdoor,mural,,,,,,Male,,,,,,,,District 11,Downtown,Downtown/Seton Hill,1687,,,,,39.29146211325886,-76.61031346272442,1/18/2023 10:47am
2009.001.XXX.RoCar,William Donald Schaefer,2009,401 Light Street,,Rodney Carroll,"Monument,Sculpture",in place,,,,,,,11/1/2009,,Baltimore,MD,21202,,Near Baltimore Visitor Center,,Outdoor,bronze,,,,Donated by Willard Hackerman,,Male,,,checked,,,,node/2502382373,District 11,Inner Harbor,Inner Harbor/Federal Hill,8741,,,,,39.28435660,-76.61222347,12/8/2022 7:55pm
,Woman With Sunglasses on Bench,2009,,Missing,George Segal,Sculpture,in place,Private Property,,Johns Hopkins University,Johns Hopkins University Public Art Program,,,,,Baltimore,MD,,Eisenhower Library,,"""Johns Hopkins University, Homewood Campus""",Indoor,,,,,gift from the Donna and Carroll Janis family,,,,,,,,,,,,,,,,,,39.32906677874329,-76.61939983312026,1/18/2023 10:41am
,[McElderry Park mural],2008,540 Lakewood Avenue,,"Charles Lawrence,""Ernest Shaw, Jr.""",Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,Sidewall of rowhouse,,Outdoor,painted mural,,"B9539066-9BB5-4B64-B70F-040DF5F1D4B0_1_105_c.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/wVZpUmE2aevk6OxkCWLJUw/3Lyut2hPg2m1l8y_1jUMPM87_T8M3nke5lEB5RDgXDgAVXiVZsu6GCk2aYJ4b_EIG2l8oKM_zikkzJvwPxR3wLATOg0Nlv1mUJD4rzfLfkCsT1CxZVcUM94rHKaTdflRLIK26TfAv9MeeGic16XWwQ/E3l_2XkhdhwPkyvYC81FLx21qX-owy5fhZKawgij8Ks),1168E127-15D6-4CC1-9FFF-29E5CE63412A_1_105_c.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/mkQ2rvHG2bnm0b3NrGhLsg/PNzF_IT0UvRO8S4qhH7gEdciaB08JFEb5ycBD6LuTFPsYve67dpbZAD7VoZVb0QGnOoPCs-GKeGQqvJUtmZJxIkrh7RBS4AetNQVGLXLNhUKK_UnE-mVEsf6fNS7Q7eVqNmFOUPZN7_JXqIuAohH-w/RwIgyCokndUodbtYXMUw_VdGvdYL5ZgiLQH8cz64LOY)",,,,"Male, Male",,,,,,,,,,,,,,,,39.29772369869232,-76.57961434064957,12/28/2022 12:12am
2008.010.BMP.GaMul,"1. Huntington, Waverley, Waverly 2. Waverly Things",2008,601 E. 33rd Street,,Gary Mullen,Mural,in place,,,,,,,,,Baltimore,MD,21218,Giant Foods at 33rd and Greenmount,two murals on side of building facing 33rd,,Outdoor,mural,collage of food and Baltimore Icons,,,Excellent Condition,,Male,,,checked,,,,,District 14,Better Waverly,The Waverlies,7844,,,,,39.328234,-76.608261,12/8/2022 2:54pm
2008.003.BMP.JoBer,Across the Waves?,2008,315 S. Highland Street,,Joel Bergner,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21205,,,,,mural,,"2008.003.BMP.JoBer(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/HRyBoWEqCNXozCSqngXdvQ/4muHjasnmOAM4JIIpfdPIBCIaq4HEuYnB0-vfffo1idAZVvU44DhMeNMTReBRu4N/zNOqQg0aoUBs6CfCmWWPyppeyS6OJn6QOantAbVQFgM),2008.003.BMP.JoBer.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/UQk7bsw2OAME5QQvBfCxzg/n2twHgyslGxWyBsm-mu4pbFSurVLErJmsLWaKrxz9cQwve7u5MGpPaMvv726jiyN/uklS74bduwz7RVW0Suwt1XXtDP7ZYBuFJOc2AhpZaIE)",,,,Male,,,,,,,,District 1,Highlandtown,Highlandtown,3562,,,,,39.288083,-76.568858,12/8/2022 2:54pm
2008.004.BMP.EmCD,Grasshopper's Revenge,2008,3900 Belair Road,,Emily CD (Cordon-Douglas),Mural,,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21213,Movie Shed at Herring Run Park,movie shed building,Herring Run Park,,mural,"brightly painted grasshopper, nature scene","2008.004.BMP.EmCD(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/PyGyYUa8iWYo5lM8oT1vXQ/0T2F6VnToU1bhAsNU0ne4K7p6HPml-qwHwuuK-TmD99VXsIop3Bp1TMRLkKUCNhf/QXI2H2JKV6a3BVatd8I75nlgA7ECQfLt-pzvYdnm3MA),2008.004.BMP.EmCD.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/5bgl0ZrmMSyONULGiDeAyQ/M-YJrdetlqhFB97ltBA-G_FHICKebGr8_C7bv1j6fCqkOJSJmQ6vpaTvf34B1NSG/EItTImVj6_MG-LW3AFjhGrWYdPldoUqwjNAWRp1Wkw8)",,Excellent Condition,,Female,,,checked,,,,,District 3,Herring Run Park,Belair-Edison,1102,,,,,39.326441,-76.568325,12/8/2022 2:54pm
2008.016.BMP.NeRiv,Harbor Life,2008,524 S. Broadway,,Nelson Rivas (Cekis),Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21231,Bank of America Fells Point Branch,,,Outdoor,mural,,"2008.016.BMP.NeRiv(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/JZca6JBdVaIMMECBNKiVog/gcZI0cPT6cauj_pyACoyM0l_lrvXZEAUgjiN9LOYksMXKZcPYKXW2MC3tdavldmi/0OKs9c3hXhLWglKf-K5ZisUKdY7uYz7wP4rreGOwGl0),2008.016.BMP.NeRiv.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/PGkiX20kQZOkxWl2CvNlMQ/uw1PpFEOzbl86P30fkyEwmGJEoJ1ZGmssFXx1z4HYy1Hjs9-CGFtEq4OaZsyFxkJ/xd_AJD7gf4_YNjTbZYdfIlNhuOQplvq_7Fann8uzwzI)",,,,Male,,,,,,,,District 1,Fells Point,Fells Point,5784,,,,,39.284700,-76.593750,12/8/2022 2:54pm
2008.008.BMP.ChLaw,Leaden Hall Mural,2008,114 Hamburg Street,,Charles Lawrence,Mural,in place,,,City of Baltimore - BOPA,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21230,,side of rowhouse,,Outdoor,mural,,,,,,Male,,,,,,,,District 11,Sharp-Leadenhall,Inner Harbor/Federal Hill,9131,,,,,39.277827, -76.616202,12/8/2022 2:54pm
2008.007.BMP.DaHos,Our Roots Our Garden,2008,525 E. 21st Street,,Danamarie Hosler,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,,mural,,"2008.007.BMP.DaHos(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/EWWjnm65swMLo-H2P1JKKQ/Qcw7FZL1XFTCa-eZMj1RzNAsdDceITcjQZZzr5NISthy33NanVSZlIpJo1VQbnYq/C5BHQfT90OjBFfDJdNHg48ROy0AiP69ljE9gPBWXrZ0),2008.007.BMP.DaHos.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/LGJgie67WhS8JhtPqJcadg/kuzMyCf-sKNVr8aLy3BK6MvxCj2HI29DmwP1zOOULcYru7NHKmWsJSXKrTpVKHTz/Kyh1H07J9Kf4MqHITw0vDR180B8bV90bZgr_vl9qNkk)",,,,Female,,,,,,,,District 12,East Baltimore Midway,Midway/Coldstream,3105,,,,,39.313392,-76.608686,12/8/2022 2:54pm
2008.006.BMP.DaHos,"Past, Present & Future",2008,601 E. 33rd Street,,Danamarie Hosler,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,,Female,,,,,,,,District 14,Better Waverly,The Waverlies,6432,,,,,39.328251,-76.607856,12/8/2022 2:54pm
,Pope John Paul II Statue,2008,1 W. Franklin Street,,Joseph Sheppard,Sculpture,in place,,,,,,"""Mahan Rykiel Associates, Inc.""",10/23/2008,,Baltimore,MD,21201,Pope John Paul II Prayer Garden,,,Outdoor,bronze,,,Pope John Paul II,,,Male,,,,,,,node/9987209253,District 11,Downtown,Downtown/Seton Hill,1023,,,,,39.294913,-76.615716,12/8/2022 2:54pm
